season,wins,team
2005,49,MEM
2006,22,MEM
2007,22,MEM
2008,24,MEM
2009,40,MEM
2010,46,MEM
2011,41,MEM
2012,56,MEM
2013,50,MEM
2014,55,MEM
2015,42,MEM
2016,43,MEM
2017,22,MEM
