season,continuity,team
2017,60.0,NOH
2016,48.0,NOH
2015,79.0,NOH
2014,66.0,NOH
2013,61.0,NOH
2012,41.0,NOH
2011,48.0,NOH
2010,45.0,NOH
2009,58.0,NOH
2008,77.0,NOH
2007,78.0,NOH
2006,55.0,NOH
2005,47.0,NOH
