season,wins,team
2005,50,CLE
2006,50,CLE
2007,45,CLE
2008,66,CLE
2009,61,CLE
2010,19,CLE
2011,21,CLE
2012,24,CLE
2013,33,CLE
2014,53,CLE
2015,57,CLE
2016,51,CLE
2017,50,CLE
