season,continuity,team
2017,61,PHI
2016,50,PHI
2015,63,PHI
2014,29,PHI
2013,37,PHI
2012,63,PHI
2011,90,PHI
2010,75,PHI
2009,73,PHI
2008,80,PHI
2007,75,PHI
2006,72,PHI
2005,86,PHI
