season,continuity,team
2017,82.0,WAS
2016,77.0,WAS
2015,75.0,WAS
2014,72.0,WAS
2013,77.0,WAS
2012,47.0,WAS
2011,69.0,WAS
2010,47.0,WAS
2009,59.0,WAS
2008,74.0,WAS
2007,89.0,WAS
2006,81.0,WAS
2005,66.0,WAS
