season,continuity,team
2017,59.0,HOU
2016,65.0,HOU
2015,85.0,HOU
2014,48.0,HOU
2013,77.0,HOU
2012,32.0,HOU
2011,73.0,HOU
2010,77.0,HOU
2009,64.0,HOU
2008,74.0,HOU
2007,76.0,HOU
2006,75.0,HOU
2005,54.0,HOU
