season,continuity,team
2017,64.0,PHO
2016,68.0,PHO
2015,53.0,PHO
2014,81.0,PHO
2013,46.0,PHO
2012,41.0,PHO
2011,70.0,PHO
2010,61.0,PHO
2009,85.0,PHO
2008,63.0,PHO
2007,76.0,PHO
2006,95.0,PHO
2005,41.0,PHO
