season,wins,team
2005,41,IND
2006,35,IND
2007,36,IND
2008,36,IND
2009,32,IND
2010,37,IND
2011,42,IND
2012,49,IND
2013,56,IND
2014,38,IND
2015,45,IND
2016,42,IND
2017,48,IND
