season,continuity,team
2017,51.0,CHI
2016,46.0,CHI
2015,90.0,CHI
2014,64.0,CHI
2013,69.0,CHI
2012,63.0,CHI
2011,93.0,CHI
2010,49.0,CHI
2009,72.0,CHI
2008,73.0,CHI
2007,76.0,CHI
2006,65.0,CHI
2005,82.0,CHI
