season,continuity,team
2017,51.0,UTA
2016,70.0,UTA
2015,77.0,UTA
2014,61.0,UTA
2013,62.0,UTA
2012,73.0,UTA
2011,77.0,UTA
2010,50.0,UTA
2009,86.0,UTA
2008,92.0,UTA
2007,88.0,UTA
2006,74.0,UTA
2005,66.0,UTA
