season,wins,team
2005,35,OKC
2006,31,OKC
2007,20,OKC
2008,23,OKC
2009,50,OKC
2010,55,OKC
2011,47,OKC
2012,60,OKC
2013,59,OKC
2014,45,OKC
2015,55,OKC
2016,47,OKC
2017,48,OKC
