season,continuity,team
2017,53.0,CLE
2016,83.0,CLE
2015,84.0,CLE
2014,39.0,CLE
2013,60.0,CLE
2012,55.0,CLE
2011,64.0,CLE
2010,58.0,CLE
2009,71.0,CLE
2008,78.0,CLE
2007,78.0,CLE
2006,92.0,CLE
2005,63.0,CLE
