season,wins,team
2005,38,PHI
2006,35,PHI
2007,40,PHI
2008,41,PHI
2009,27,PHI
2010,41,PHI
2011,35,PHI
2012,34,PHI
2013,19,PHI
2014,18,PHI
2015,10,PHI
2016,28,PHI
2017,52,PHI
