season,continuity,team
2017,87.0,SAS
2016,69.0,SAS
2015,69.0,SAS
2014,98.0,SAS
2013,83.0,SAS
2012,95.0,SAS
2011,79.0,SAS
2010,82.0,SAS
2009,61.0,SAS
2008,77.0,SAS
2007,87.0,SAS
2006,84.0,SAS
2005,82.0,SAS
