season,wins,team
2005,21,POR
2006,32,POR
2007,41,POR
2008,54,POR
2009,50,POR
2010,48,POR
2011,28,POR
2012,33,POR
2013,54,POR
2014,51,POR
2015,44,POR
2016,41,POR
2017,49,POR
