season,wins,team
2005,34,GSW
2006,42,GSW
2007,48,GSW
2008,29,GSW
2009,26,GSW
2010,36,GSW
2011,23,GSW
2012,47,GSW
2013,51,GSW
2014,67,GSW
2015,73,GSW
2016,67,GSW
2017,58,GSW
