season,continuity,team
2017,56.0,MEM
2016,75.0,MEM
2015,65.0,MEM
2014,85.0,MEM
2013,65.0,MEM
2012,70.0,MEM
2011,72.0,MEM
2010,80.0,MEM
2009,60.0,MEM
2008,49.0,MEM
2007,63.0,MEM
2006,72.0,MEM
2005,63.0,MEM
