season,wins,team
2005,60,DAL
2006,67,DAL
2007,51,DAL
2008,50,DAL
2009,55,DAL
2010,57,DAL
2011,36,DAL
2012,41,DAL
2013,49,DAL
2014,50,DAL
2015,42,DAL
2016,33,DAL
2017,24,DAL
