season,continuity,team
2017,41,BOS
2016,79,BOS
2015,85,BOS
2014,50,BOS
2013,59,BOS
2012,53,BOS
2011,65,BOS
2010,76,BOS
2009,79,BOS
2008,94,BOS
2007,50,BOS
2006,75,BOS
2005,72,BOS
