season,continuity,team
2017,39.0,IND
2016,62.0,IND
2015,62.0,IND
2014,75.0,IND
2013,77.0,IND
2012,73.0,IND
2011,72.0,IND
2010,77.0,IND
2009,64.0,IND
2008,52.0,IND
2007,80.0,IND
2006,57.0,IND
2005,76.0,IND
