season,continuity,team
2017,52.0,OKC
2016,53.0,OKC
2015,93.0,OKC
2014,66.0,OKC
2013,89.0,OKC
2012,80.0,OKC
2011,93.0,OKC
2010,91.0,OKC
2009,76.0,OKC
2008,58.0,OKC
2007,56.0,OKC
2006,91.0,OKC
2005,82.0,OKC
