season,wins,team
2005,33,MIN
2006,32,MIN
2007,22,MIN
2008,24,MIN
2009,15,MIN
2010,17,MIN
2011,26,MIN
2012,31,MIN
2013,40,MIN
2014,16,MIN
2015,29,MIN
2016,31,MIN
2017,47,MIN
