season,continuity,team
2017,41,LAL
2016,62,LAL
2015,46,LAL
2014,44,LAL
2013,43,LAL
2012,49,LAL
2011,79,LAL
2010,85,LAL
2009,87,LAL
2008,95,LAL
2007,78,LAL
2006,79,LAL
2005,70,LAL
