season,continuity,team
2017,74.0,DAL
2016,50.0,DAL
2015,55.0,DAL
2014,38.0,DAL
2013,48.0,DAL
2012,39.0,DAL
2011,71.0,DAL
2010,79.0,DAL
2009,63.0,DAL
2008,91.0,DAL
2007,75.0,DAL
2006,77.0,DAL
2005,82.0,DAL
