season,wins,team
2005,40,MIL
2006,28,MIL
2007,26,MIL
2008,34,MIL
2009,46,MIL
2010,35,MIL
2011,31,MIL
2012,38,MIL
2013,15,MIL
2014,41,MIL
2015,33,MIL
2016,42,MIL
2017,44,MIL
