season,continuity,team
2017,93.0,POR
2016,85.0,POR
2015,47.0,POR
2014,80.0,POR
2013,65.0,POR
2012,57.0,POR
2011,59.0,POR
2010,78.0,POR
2009,70.0,POR
2008,72.0,POR
2007,74.0,POR
2006,52.0,POR
2005,61.0,POR
