season,continuity,team
2017,51,ATL
2016,68,ATL
2015,87,ATL
2014,88,ATL
2013,53,ATL
2012,52,ATL
2011,72,ATL
2010,88,ATL
2009,80,ATL
2008,79,ATL
2007,76,ATL
2006,72,ATL
2005,50,ATL
