season,wins,team
2005,63,SAS
2006,58,SAS
2007,56,SAS
2008,54,SAS
2009,50,SAS
2010,61,SAS
2011,50,SAS
2012,58,SAS
2013,62,SAS
2014,55,SAS
2015,67,SAS
2016,61,SAS
2017,47,SAS
