season,wins,team
2005,26,ATL
2006,30,ATL
2007,37,ATL
2008,47,ATL
2009,53,ATL
2010,44,ATL
2011,40,ATL
2012,44,ATL
2013,38,ATL
2014,60,ATL
2015,48,ATL
2016,43,ATL
2017,24,ATL
