season,wins,team
2005,38,NOH
2006,39,NOH
2007,56,NOH
2008,49,NOH
2009,37,NOH
2010,46,NOH
2011,21,NOH
2012,27,NOH
2013,34,NOH
2014,45,NOH
2015,30,NOH
2016,34,NOH
2017,48,NOH
