season,continuity,team
2017,51.0,NJN
2016,37.0,NJN
2015,57.0,NJN
2014,62.0,NJN
2013,45.0,NJN
2012,54.0,NJN
2011,54.0,NJN
2010,34.0,NJN
2009,69.0,NJN
2008,41.0,NJN
2007,75.0,NJN
2006,72.0,NJN
2005,86.0,NJN
