season,continuity,team
2017,59,DET
2016,75,DET
2015,50,DET
2014,57,DET
2013,59,DET
2012,71,DET
2011,69,DET
2010,80,DET
2009,48,DET
2008,81,DET
2007,79,DET
2006,81,DET
2005,90,DET
