season,wins,team
2005,64,DET
2006,53,DET
2007,59,DET
2008,39,DET
2009,27,DET
2010,30,DET
2011,25,DET
2012,29,DET
2013,29,DET
2014,32,DET
2015,44,DET
2016,37,DET
2017,39,DET
