season,wins,team
2005,36,ORL
2006,40,ORL
2007,52,ORL
2008,59,ORL
2009,59,ORL
2010,52,ORL
2011,37,ORL
2012,20,ORL
2013,23,ORL
2014,25,ORL
2015,35,ORL
2016,29,ORL
2017,25,ORL
