season,continuity,team
2017,73.0,CHA
2016,80.0,CHA
2015,51.0,CHA
2014,61.0,CHA
2013,64.0,CHA
2012,49.0,CHA
2011,57.0,CHA
2010,70.0,CHA
2009,59.0,CHA
2008,52.0,CHA
2007,66.0,CHA
2006,72.0,CHA
2005,66.0,CHA
