season,wins,team
2005,49,NJN
2006,41,NJN
2007,34,NJN
2008,34,NJN
2009,12,NJN
2010,24,NJN
2011,22,NJN
2012,49,NJN
2013,44,NJN
2014,38,NJN
2015,21,NJN
2016,20,NJN
2017,28,NJN
