season,wins,team
2005,42,WAS
2006,41,WAS
2007,43,WAS
2008,19,WAS
2009,26,WAS
2010,23,WAS
2011,20,WAS
2012,29,WAS
2013,44,WAS
2014,46,WAS
2015,41,WAS
2016,49,WAS
2017,43,WAS
