season,wins,team
2005,26,CHA
2006,33,CHA
2007,32,CHA
2008,35,CHA
2009,44,CHA
2010,34,CHA
2011,7,CHA
2012,21,CHA
2013,43,CHA
2014,33,CHA
2015,48,CHA
2016,36,CHA
2017,36,CHA
