season,wins,team
2005,41,UTA
2006,51,UTA
2007,54,UTA
2008,48,UTA
2009,53,UTA
2010,39,UTA
2011,36,UTA
2012,43,UTA
2013,25,UTA
2014,38,UTA
2015,40,UTA
2016,51,UTA
2017,48,UTA
