season,continuity,team
2017,84.0,TOR
2016,84.0,TOR
2015,62.0,TOR
2014,82.0,TOR
2013,68.0,TOR
2012,55.0,TOR
2011,78.0,TOR
2010,59.0,TOR
2009,38.0,TOR
2008,78.0,TOR
2007,71.0,TOR
2006,37.0,TOR
2005,54.0,TOR
