season,wins,team
2005,44,DEN
2006,45,DEN
2007,50,DEN
2008,54,DEN
2009,53,DEN
2010,50,DEN
2011,38,DEN
2012,57,DEN
2013,36,DEN
2014,30,DEN
2015,33,DEN
2016,40,DEN
2017,46,DEN
