season,wins,team
2005,44,SAC
2006,33,SAC
2007,38,SAC
2008,17,SAC
2009,25,SAC
2010,24,SAC
2011,22,SAC
2012,28,SAC
2013,28,SAC
2014,29,SAC
2015,33,SAC
2016,32,SAC
2017,27,SAC
