season,wins,team
2005,27,TOR
2006,47,TOR
2007,41,TOR
2008,33,TOR
2009,40,TOR
2010,22,TOR
2011,23,TOR
2012,34,TOR
2013,48,TOR
2014,49,TOR
2015,56,TOR
2016,51,TOR
2017,59,TOR
