season,continuity,team
2017,81,GSW
2016,67,GSW
2015,95,GSW
2014,80,GSW
2013,71,GSW
2012,52,GSW
2011,47,GSW
2010,53,GSW
2009,58,GSW
2008,56,GSW
2007,91,GSW
2006,67,GSW
2005,88,GSW
