season,wins,team
2005,54,PHO
2006,61,PHO
2007,55,PHO
2008,46,PHO
2009,54,PHO
2010,40,PHO
2011,33,PHO
2012,25,PHO
2013,48,PHO
2014,39,PHO
2015,23,PHO
2016,24,PHO
2017,21,PHO
