season,continuity,team
2017,53.0,MIN
2016,84.0,MIN
2015,67.0,MIN
2014,43.0,MIN
2013,59.0,MIN
2012,54.0,MIN
2011,73.0,MIN
2010,40.0,MIN
2009,46.0,MIN
2008,58.0,MIN
2007,36.0,MIN
2006,73.0,MIN
2005,56.0,MIN
