season,wins,team
2005,41,CHI
2006,49,CHI
2007,33,CHI
2008,41,CHI
2009,41,CHI
2010,62,CHI
2011,50,CHI
2012,45,CHI
2013,48,CHI
2014,50,CHI
2015,42,CHI
2016,41,CHI
2017,27,CHI
