season,continuity,team
2017,37,NYK
2016,37,NYK
2015,42,NYK
2014,39,NYK
2013,73,NYK
2012,54,NYK
2011,47,NYK
2010,34,NYK
2009,78,NYK
2008,61,NYK
2007,76,NYK
2006,84,NYK
2005,43,NYK
