season,wins,team
2005,33,BOS
2006,24,BOS
2007,66,BOS
2008,62,BOS
2009,50,BOS
2010,56,BOS
2011,39,BOS
2012,41,BOS
2013,25,BOS
2014,40,BOS
2015,48,BOS
2016,53,BOS
2017,55,BOS
