season,continuity,team
2017,44,SAC
2016,47,SAC
2015,52,SAC
2014,70,SAC
2013,53,SAC
2012,81,SAC
2011,58,SAC
2010,61,SAC
2009,58,SAC
2008,66,SAC
2007,67,SAC
2006,85,SAC
2005,62,SAC
