characteristic,score
Aftertaste,2.3200376702759176
Balance,1.539874895732749
Sweetness,1.4746074905427582
Aroma,1.4675474261439785
Uniformity,1.4247725792090826
Acidity,1.0903389864379145
Body,0.9820981335491448
