country,code,region,income group,year,Number of conference papers Percapita,Number of journal papers Percapita,Number of Deep Learning papers Percapita,Number of patents Percapita,Total Funding Amount Percapita,Total Number of Startups Percapita,AI hiring index,Number of conference papers,Count of conference citation,Count of citation references,Number of journal papers,Count of journal citation,Count of journal references,Number of AI occupational skills,Number of Deep Learning papers,Number of patents,Count of patent citation,Count of patent references,Percentile Rank,Proportion of female AI authors,Proportion of female in AI workplace,Revealed Comparative Advantage - Deep Learning Papers,Share of total enrollment,Skill Penetration Index,Total Funding Amount,Total Number of Startups,Total number of hires on LinkedIn,Number of conference papers Percapita scaled,Number of journal papers Percapita scaled,Number of Deep Learning papers Percapita scaled,Number of patents Percapita scaled,Total Funding Amount Percapita scaled,Total Number of Startups Percapita scaled,AI hiring index scaled,Number of conference papers scaled,Count of conference citation scaled,Count of citation references scaled,Number of journal papers scaled,Count of journal citation scaled,Count of journal references scaled,Number of AI occupational skills scaled,Number of Deep Learning papers scaled,Number of patents scaled,Count of patent citation scaled,Count of patent references scaled,Percentile Rank scaled,Proportion of female AI authors scaled,Proportion of female in AI workplace scaled,Revealed Comparative Advantage - Deep Learning Papers scaled,Share of total enrollment scaled,Skill Penetration Index scaled,Total Funding Amount scaled,Total Number of Startups scaled,Total number of hires on LinkedIn scaled
Brazil,BRA,Latin America & Caribbean,Upper middle income,2017,3.45e-06,2.28e-06,1.44e-07,9.620000000000001e-09,0.055361126,3.85e-08,1.632207472,716.1565998,1435,15405,474.51565660000006,3628,23334,0,30,2.0,2,7,0.0,22.25934303,0.0,0.8680889490000001,0.029567509,0.0,11505915,8,1531,1.939231119,1.3311948679999999,0.35623294899999997,0.05172043,0.030725557,0.15140572900000002,47.94383106,5.541128458999999,0.687473535,4.4003098860000005,4.062723583,1.979203235,3.924554737,0.0,0.9424764379999999,0.069156293,0.031022181,0.01001273,0.0,53.45437186,0.0,55.74272048,14.95453166,0.0,0.059986048,0.41782729799999996,2.653885489
Canada,CAN,North America,High income,2017,3.48e-05,2.8999999999999997e-05,5.25e-06,1.06e-05,12.49451914,2.46e-06,1.7317449459999998,1270.518687,12090,38037,1059.449856,14395,62593,0,192,387.0,136,1953,0.0,33.24904791,0.0,1.009109113,0.072695442,0.0,456553078,90,4370,31.59527774,44.18604651,14.74646585,56.98924731,8.311474987999999,15.49153015,50.86760633,10.4385736,5.99546666,11.73642873,9.622928502999999,8.496047646000001,11.39807503,0.0,6.207344816,13.38174274,2.109508298,2.793551802,0.0,79.84543697,0.0,65.91202384,48.53221920000001,0.0,2.487826681,6.128133705,7.575100972
China,CHN,East Asia & Pacific,Upper middle income,2017,6.18e-06,5.08e-06,6.16e-07,1.7899999999999997e-07,4.53726573,1.1e-07,0.963617508,8568.435206999999,36164,205039,7047.010534,88554,373905,0,854,248.33333330000002,63,1106,0.0,0.0,0.0,1.4008485919999998,0.11176554300000001,0.0,6290442522,153,1288,4.521719388999999,5.821972735,1.686469912,0.962365591,3.0143301510000002,0.6043559239999999,28.30492802,74.91113876,17.98839266,65.86980269,66.53884208,53.38159279999999,70.66083136,0.0,27.72180695,8.586906407,0.9771986970000001,1.582011415,0.0,0.0,0.0,94.16130033,78.95064067,0.0,34.31311401,10.51532033,2.232661339
Denmark,DNK,Europe & Central Asia,High income,2017,2.7899999999999997e-05,2.4299999999999998e-05,3.12e-06,1.73e-07,3.340512543,2.25e-06,1.188931391,160.9666667,968,4433,140.2409091,2210,8737,0,18,1.0,0,14,0.0,34.48504983,0.0,0.458969801,0.083527562,0.0,19257988,13,985,25.06810958,36.64795509,8.74348973,0.930107527,2.2176513680000003,14.16118692,34.92321089,0.636369814,0.454828505,0.843757395,0.8852104590000001,1.120943239,1.145803985,0.0,0.5524861879999999,0.034578147000000004,0.0,0.020025461,0.0,82.81361559999999,0.0,26.24015424,56.96567555,0.0,0.10227549400000001,0.766016713,1.707431226
Finland,FIN,Europe & Central Asia,High income,2017,4.29e-05,3.13e-05,1.63e-06,5.45e-06,7.830357717,4.18e-06,1.574640478,236.1083333,1236,7128,172.67229440000003,2338,11643,0,9,30.0,20,209,0.0,19.58689459,0.0,0.406631139,0.119028405,0.0,43131286,23,738,39.25760557,47.87489976,4.544224742,29.30107527,5.206542001,26.38767469,46.25288044,1.3001998240000001,0.5883378579999999,1.717336411,1.193493251,1.198416637,1.699003251,0.0,0.2599935,1.037344398,0.31022180899999996,0.29895152399999997,0.0,47.03665987,0.0,22.46588738,84.60521518,0.0,0.232510147,1.4623955430000002,1.279273345
France,FRA,Europe & Central Asia,High income,2017,1.86e-05,1.3000000000000001e-05,1.81e-06,9.82e-06,5.213650837,1.35e-06,1.4500879740000001,1243.489176,5725,36006,868.0541486,11932,60612,0,121,656.6666667000001,310,3407,0.0,32.50770727,0.0,0.72133101,0.10292826,0.0,348611514,90,4356,16.27062207,18.5244587,5.051518499,52.79569892,3.464599823,8.45971594,42.59432336,10.19978464,2.824619523,11.07808403,7.803579668999999,7.005289981000001,11.02096294,0.0,3.8999025019999998,22.70631628,4.808438033,4.87333896,0.0,78.0651554,0.0,45.15965235,72.07028479,0.0,1.898979168,6.128133705,7.550832914
Germany,DEU,Europe & Central Asia,High income,2017,2.3800000000000003e-05,1.5399999999999998e-05,3.96e-06,4.18e-06,4.383956256,5.57e-07,1.4888732080000002,1971.3511899999999,16325,56963,1274.049026,16952,80517,0,327,345.5,153,1536,0.0,26.12145599,0.0,0.838777978,0.120088642,0.0,362364681,46,3991,21.18964734,22.37369687,11.1108606,22.47311828,2.912272011,3.43608651,43.73358582,16.629994,8.105213341,17.87125487,11.66284233,10.04369984,14.81016851,0.0,10.59473513,11.94674965,2.373196836,2.1970791430000003,0.0,62.72898621,0.0,53.62903583,85.4306734,0.0,1.9740060430000002,3.064066852,6.918129972999999
India,IND,South Asia,Lower middle income,2017,2.61e-06,1.58e-06,7.47e-08,2.5e-08,0.14985627199999998,5.1500000000000005e-08,1.557756725,3495.9692979999995,5044,54750,2119.121212,12717,73319,0,100,33.5,8,117,0.0,24.5058768,0.0,1.256258805,0.098360097,0.0,200606422,69,16243,1.144619343,0.208500401,0.160924853,0.134408602,0.093630991,0.23376031,45.75694361,30.09904918,2.485366279,17.15391522,19.69583909,7.480419809,13.43992477,0.0,3.217419565,1.158367911,0.12408872300000001,0.167355638,0.0,58.84927733,0.0,83.73458286,68.51369538,0.0,1.091575355,4.665738162,28.15614762
Ireland,IRL,Europe & Central Asia,High income,2017,3.06e-05,1.4800000000000002e-05,3.74e-06,4.16e-07,15.36694979,4.78e-06,1.338267363,147.1261905,609,3044,71.0,825,4276,0,18,2.0,1,9,0.0,34.37931034,0.0,0.772599165,0.067015139,0.0,73874890,23,868,27.62221886,21.41138733,10.49083489,2.23655914,10.22365252,30.18865534,39.30974798,0.514097793,0.275985752,0.39351574200000006,0.22702763399999998,0.282656853,0.296587907,0.0,0.5524861879999999,0.069156293,0.01551109,0.012873511,0.0,82.55968906,0.0,48.85672237,44.10976196,0.0,0.40022399200000003,1.4623955430000002,1.5046195980000001
Israel,ISR,Middle East & North Africa,High income,2017,2.59e-05,1.9699999999999998e-05,7.69e-06,2.18e-06,79.52370353,1.0800000000000002e-05,1.496454259,225.35,2280,7512,171.57196969999998,2016,10238,0,67,19.0,10,73,0.0,29.08013886,0.0,0.6662051999999999,0.093963824,0.0,692913886,94,1070,23.17617678,29.270248600000002,21.62311456,11.72043011,52.93281349,68.32516122,43.95626868,1.205156623,1.108426532,1.841809265,1.183033902,1.003522619,1.431541115,0.0,2.144946376,0.656984786,0.155110904,0.104418475,0.0,69.83407166,0.0,41.18439754,65.09093267,0.0,3.777232437,6.4066852370000005,1.854773007
Italy,ITA,Europe & Central Asia,High income,2017,1.58e-05,1.32e-05,2.49e-06,2.34e-06,0.172309202,2.81e-07,1.238179669,955.1352072999999,4999,28935,799.669228,9585,49042,0,151,141.5,23,566,0.0,31.65134893,0.0,0.798511115,0.068124682,0.0,10431032,17,1907,13.62191615,18.84522855,6.967961581,12.58064516,0.10857791,1.68763541,36.36981076,7.652356205,2.4629486640000002,8.786033108,7.153533607999999,5.584742583,8.81844556,0.0,4.874878128,4.892807746,0.35675508,0.809600778,0.0,76.00866626,0.0,50.72529544,44.97360786,0.0,0.054122300000000005,1.044568245,3.305656191
Japan,JPN,East Asia & Pacific,High income,2017,1.86e-05,9.34e-06,9.86e-07,6.2e-06,3.155797546,7.729999999999999e-07,0.0,2361.074242,4989,40853,1183.997763,7522,42262,0,125,785.6666667000001,244,3574,0.0,12.00379474,0.0,1.018722528,0.112670795,0.0,400110307,98,0,16.27062207,12.65437049,2.729240412,33.33333333,2.094686566,4.804439545,0.0,20.072955399999998,2.457966971,12.64922966,10.80684267,4.336089288,7.527774182000001,0.0,4.029899253,27.16689719,3.784706065,5.112214101,0.0,28.82633629,0.0,66.60527033,79.65543375,0.0,2.179917623,6.685236768999999,0.0
Netherlands,NLD,Europe & Central Asia,High income,2017,2.09e-05,2.8899999999999998e-05,5.72e-06,1.23e-06,3.532383715,8.76e-07,1.529094538,358.7845238,5716,12528,495.6093074,8325,31989,0,98,21.0,17,247,0.0,38.58695652,0.0,0.974449397,0.078373927,0.0,60514311,15,2236,18.44634479,44.02566159,16.07106622,6.612903226,2.345380037,5.4569412239999995,44.91503162,2.383967865,2.820136,3.467735923,4.263233352,4.8221138130000005,5.572159571,0.0,3.1524211889999996,0.726141079,0.263688537,0.353306347,0.0,92.66407908,0.0,63.41262832,52.95326101,0.0,0.327338781,0.9052924790000001,3.875955555
Norway,NOR,Europe & Central Asia,High income,2017,2.8199999999999998e-05,2.0300000000000002e-05,1.9e-06,8.529999999999999e-07,6.962512564,2.08e-06,0.0,148.69166669999998,767,4027,107.12673159999999,1727,7136,0,10,4.5,0,41,0.0,0.0,0.0,0.459880455,0.097849286,0.0,36740956,11,0,25.3518995,30.23255814,5.305165378,4.586021505,4.628817347,13.084242399999999,0.0,0.527927804,0.35469649,0.7121532829999999,0.570437254,0.82860221,0.841030405,0.0,0.292492688,0.15560166,0.0,0.058645993,0.0,0.0,0.0,26.30582369,68.11599832,0.0,0.197649341,0.626740947,0.0
Portugal,PRT,Europe & Central Asia,High income,2017,2.75e-05,1.88e-05,8.74e-07,5.18e-07,4.962962244,2.91e-07,1.493935614,283.2706349,777,6986,193.15952380000002,1894,10875,0,9,5.333333333,1,12,0.0,40.0,0.0,0.772599165,0.061220360999999994,0.0,51120000,3,657,24.68972302,27.82678428,2.4135909630000003,2.7849462369999998,3.297716387,1.7509850869999999,43.88228698,1.716849501,0.359678183,1.6713073859999998,1.3882385640000001,0.929680785,1.552803308,0.0,0.2599935,0.184416782,0.01551109,0.017164681,0.0,96.05741156,0.0,48.85672237,39.59817906,0.0,0.276090527,0.069637883,1.138865295
Russia,RUS,Europe & Central Asia,Upper middle income,2017,2.32e-06,2.32e-06,1.59e-07,1.31e-07,0.36955723,6.230000000000001e-08,0.0,335.5833333,944,4547,334.8945887,874,7826,0,23,19.0,1,132,0.0,0.0,0.0,0.665534861,0.070991117,0.0,53399815,9,0,0.8702890870000001,1.3953488369999998,0.39850742899999997,0.704301075,0.239885953,0.30217796199999997,0.0,2.178999739,0.442872444,0.8807102729999999,2.7355285769999997,0.312314639,0.972381917,0.0,0.714982125,0.656984786,0.01551109,0.18881148899999997,0.0,0.0,0.0,41.13605778,47.20529976,0.0,0.28852747300000003,0.487465181,0.0
Singapore,SGP,East Asia & Pacific,High income,2017,9.120000000000001e-05,6.07e-05,2.08e-05,4.99e-06,19.36265115,4.99e-06,2.180677592,511.86666669999994,5599,20409,340.5914141,10036,31060,0,117,28.0,10,256,0.0,16.22680623,0.0,1.120125183,0.09826130599999999,0.0,108668097,28,990,84.94778265,95.02806736,58.57100985,26.82795699,12.88359154,31.51899857,64.05438026,3.7363536319999997,2.761850201,6.022346767,2.78968085,5.857715261,5.395310941,0.0,3.7699057519999997,0.968188105,0.155110904,0.36617985700000005,0.0,38.96762511,0.0,73.91765979,68.43678065,0.0,0.5900294079999999,1.8105849580000002,1.71609839
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,2017,2.08e-06,1.46e-06,3.5099999999999997e-08,8.77e-09,0.08897892800000001,8.77e-08,1.5905266630000001,118.4761905,224,2469,83.45,731,3483,0,2,0.5,0,0,0.0,0.0,0.0,0.468241918,0.047267675,0.0,5071839,5,396,0.643257152,0.016038491999999998,0.049320225999999995,0.047150538,0.053104933,0.46308614299999995,46.7195151,0.260992816,0.0841906,0.207130609,0.34537351200000005,0.225762326,0.14562885,0.0,0.032499188,0.017289073000000002,0.0,0.0,0.0,0.0,0.0,26.90878891,28.73517455,0.0,0.024886597000000003,0.20891364899999998,0.686439356
Spain,ESP,Europe & Central Asia,High income,2017,1.9600000000000002e-05,1.95e-05,1.89e-06,1.36e-07,0.935650552,6.22e-07,1.395698211,912.8637427000001,4328,25357,909.3335137,9350,49671,0,88,6.333333333,1,38,0.0,36.642706700000005,0.0,0.895767148,0.050120777000000005,0.0,43594987,29,2923,17.21658847,28.94947875,5.276982391000001,0.7311827959999999,0.616734365,3.8478594139999998,40.99669949,7.278914038,2.128677112,7.626231357000001,8.19596864,5.4425062639999995,8.938184836,0.0,2.8274293139999997,0.21899492899999998,0.01551109,0.054354823,0.0,87.99508895,0.0,57.73866201,30.95648591,0.0,0.235039749,1.880222841,5.066823831000001
Sweden,SWE,Europe & Central Asia,High income,2017,2.68e-05,2.25e-05,2.98e-06,1.74e-06,5.446508037999999,2.49e-06,1.856150241,269.66096489999995,1333,7355,226.6640693,3181,14394,0,30,17.5,7,80,0.0,23.52631579,0.0,0.415375895,0.107071039,0.0,54779333,25,1378,24.02754654,33.76102646,8.348927919,9.35483871,3.619612898,15.68157918,54.52183935,1.59661651,0.6366602729999999,1.79091802,1.706722487,1.7086516,2.222696018,0.0,0.9424764379999999,0.605117566,0.108577633,0.114431205,0.0,56.49692496,0.0,23.09649278,75.2956872,0.0,0.296053079,1.601671309,2.3886702840000003
Switzerland,CHE,Europe & Central Asia,High income,2017,4.98e-05,3.6200000000000006e-05,1.76e-05,6.63e-06,8.011543877000001,1.42e-06,1.55615006,420.9,5726,16632,305.6351732,5723,23235,0,149,56.0,8,400,0.0,22.19168791,0.0,1.05129932,0.10935904699999999,0.0,67712287,12,1144,45.78477372,55.73376103,49.55245417,35.64516129,5.327157656,8.903163682999999,45.70975006,2.932719563,2.825117692,4.798039553,2.457397556,3.2472248789999996,3.9057086510000003,0.0,4.809879753,1.93637621,0.12408872300000001,0.572156027,0.0,53.29190247,0.0,68.95446119,77.07703892,0.0,0.36660549200000003,0.69637883,1.983047028
United Arab Emirates,ARE,Middle East & North Africa,High income,2017,9.37e-06,6.13e-06,6.32e-07,6.54e-06,0.52021307,6.32e-07,0.0,88.93333333,563,3182,58.2,651,3677,0,6,62.0,28,511,0.0,0.0,0.0,0.6718253609999999,0.053231229000000005,0.0,4935367,6,0,7.539352202000001,7.506014435,1.73156269,35.16129032,0.34017756899999996,3.911209092,0.0,0.0,0.25306996800000003,0.438248174,0.105354764,0.17734145199999998,0.182559565,0.0,0.162495938,2.14384509,0.434310532,0.7309293240000001,0.0,0.0,0.0,41.58968087,33.37815971,0.0,0.024142109,0.278551532,0.0
United Kingdom,GBR,Europe & Central Asia,High income,2017,3.02e-05,2.84e-05,5.37e-06,4.75e-06,18.29651637,2.69e-06,1.5502927309999999,1995.115366,20150,66928,1876.1105699999998,29779,123452,0,355,314.0,78,1423,0.0,26.99048585,0.0,0.8919437509999999,0.075981381,0.0,1208646995,178,5926,27.243832300000005,43.22373697,15.08466169,25.53763441,12.17386545,16.94857273,45.53769914,16.83993575,10.01071064,21.10139027,17.38585453,17.80738176,22.98346875,0.0,11.50471238,10.85753804,1.209865054,2.035445066,0.0,64.81590518,0.0,57.46294765,51.09052017,0.0,6.590682115,12.25626741,10.27232228
United States of America,USA,North America,High income,2017,3.06e-05,2.33e-05,6.18e-06,8.51e-06,42.94061843,3.95e-06,1.566601186,9944.02489,114252,285758,7564.990295999999,107376,393111,0,2009,2765.5,2167,20639,0.0,26.18654299,0.0,1.05977859,0.088460162,0.0,13962018457,1284,38558,27.62221886,35.04410585,17.3674836,45.75268817,28.57944804,24.930632100000004,46.01673739,87.06362026,56.88943134,92.03470977,71.46259867,64.77381399,74.31697214,0.0,65.25836854,95.62586445,33.61253296,29.5218206,0.0,62.88528843,0.0,69.56592176,60.80600107,0.0,76.16342858,89.27576602,66.83769869
Australia,AUS,East Asia & Pacific,High income,2016,4.1200000000000005e-05,3.5600000000000005e-05,7.4e-06,1.34e-06,0.8815643,6.2e-07,1.332183724,997.7242424000001,12109,32854,860.1261904999999,21233,56056,0,179,32.33333333,17,399,0.0,34.99111151,0.0,1.152839957,0.056198190999999995,0.0,21325840,15,1394,37.64946269,54.77145148,20.80580795,7.204301075,0.580729139,3.835189479,39.13104952,8.02860391,6.004931875,10.05636935,7.728218933,12.63482187,10.15366223,0.0,5.784855379,1.11802674,0.263688537,0.570725637,0.0,84.02888998,0.0,76.27680087,35.68811792,0.0,0.11355613,0.9052924790000001,2.416405207
Austria,AUT,Europe & Central Asia,High income,2016,2.6000000000000002e-05,1.7100000000000002e-05,3.78e-06,3.43e-07,1.213014733,9.159999999999999e-07,0.0,227.25,4511,7693,149.4444444,3728,9150,0,33,3.0,1,32,0.0,21.3180189,0.0,0.7903143690000001,0.078762632,0.0,10597707,8,0,23.27077342,25.10024058,10.60356684,1.844086022,0.8013757440000001,5.710339933999999,0.0,1.221941945,2.21984208,1.900480063,0.97269644,2.039729327,1.224424528,0.0,1.039974001,0.10373444,0.01551109,0.045772482,0.0,51.19384288,0.0,50.13420836,53.25589121,0.0,0.055031552000000004,0.41782729799999996,0.0
Belgium,BEL,Europe & Central Asia,High income,2016,2.46e-05,2.48e-05,1.06e-06,7.5e-07,7.911978037999999,3.53e-07,1.082395456,278.62063489999997,2706,8073,281.36507939999996,5434,17701,0,12,8.5,3,54,0.0,31.529929499999998,0.0,0.579063446,0.082323348,0.0,89653962,4,680,21.94642046,37.44987971,2.937794512,4.032258065,5.260876661,2.143753088,31.79386553,1.6757696359999998,1.320646624,2.023656325,2.226693495,3.07230447,2.852231453,0.0,0.357491063,0.293914246,0.046533270999999994,0.077241064,0.0,75.71708536,0.0,34.90039597,56.02812259,0.0,0.48630267200000005,0.139275766,1.178734247
Brazil,BRA,Latin America & Caribbean,Upper middle income,2016,2.86e-06,2.16e-06,1.0199999999999999e-07,0.0,0.037679557999999995,1.46e-08,1.118314442,590.1333333,2461,13756,446.2845238,5421,20508,0,21,0.0,0,0,0.0,23.75291375,0.0,0.89335775,0.029297048,0.0,7768133,3,967,1.3811109430000001,1.1387329590000002,0.23786440600000003,0.0,0.018954935,0.0,32.84893594,4.427791078,1.198595163,3.865789738,3.794367102,3.064436078,3.386584632,0.0,0.64998375,0.0,0.0,0.0,0.0,57.04108529,0.0,57.56491452,14.74396152,0.0,0.039595537,0.069637883,1.676229437
Canada,CAN,North America,High income,2016,3.5499999999999996e-05,2.9100000000000003e-05,3.57e-06,1.32e-05,5.449528402,1.66e-06,1.25021718,1282.437302,15629,38030,1051.597222,18248,55584,0,129,475.16666669999995,1134,4762,0.0,31.32928207,0.0,1.019732144,0.06632414,0.0,196779675,60,2840,32.25745422,44.34643144,10.01172412,70.96774194,3.6216235539999997,10.42355594,36.72339595,10.54386717,7.758487558,11.73415969,9.548283775,10.828118,10.06381018,0.0,4.159896003,16.43038267,17.58957655,6.811517501,0.0,75.23524354,0.0,66.67807617,43.57177772,0.0,1.0706995190000002,4.038997214,4.922948916
China,CHN,East Asia & Pacific,Upper middle income,2016,5.86e-06,4.91e-06,3.38e-07,1.2e-07,4.538847946000001,7.54e-08,0.7568853990000001,8081.326190000001,61232,186065,6764.463131,108006,313576,0,466,166.0,104,1193,0.0,0.0,0.0,1.454272756,0.078793889,0.0,6257550804,104,878,4.219010141,5.5493183639999994,0.9029828870000001,0.64516129,3.0153834330000002,0.38516604,22.232459,70.60783278,30.47649887,59.71941744,63.85303321,65.15512838,59.17633084,0.0,15.112122199999998,5.739972337,1.613153405,1.70645535,0.0,0.0,0.0,98.01384535,53.28022666,0.0,34.13368168,7.103064067,1.521953925
Denmark,DNK,Europe & Central Asia,High income,2016,2.8000000000000003e-05,2.3100000000000002e-05,2.62e-06,5.24e-07,4.761415745,1.57e-06,1.159896848,160.5611111,2088,4591,132.28730159999998,2932,7211,0,15,3.0,2,9,0.0,27.81838317,0.0,0.6553589670000001,0.070470756,0.0,27273437,9,768,25.16270622,34.72333601,7.334340405,2.8172043010000003,3.1635468510000004,9.853408846,34.07036145,0.632786982,1.012778041,0.894972788,0.809605908,1.557941629,0.855307743,0.0,0.454988625,0.10373444,0.031022181,0.012873511,0.0,66.80404702,0.0,40.40224958,46.80016746,0.0,0.14600172,0.487465181,1.331276327
Finland,FIN,Europe & Central Asia,High income,2016,4.5299999999999997e-05,3.2500000000000004e-05,2.18e-06,5.19e-06,1.029979057,1.09e-06,1.269343134,248.72619049999997,2463,7426,178.43181819999998,3503,11013,0,12,28.5,16,216,0.0,19.81481481,0.0,0.554246441,0.102352488,0.0,5660047,6,559,41.52792493,49.79951885,6.094289,27.90322581,0.679528866,6.812624324,37.28519433,1.411670765,1.199591501,1.813932532,1.248241516,1.903545619,1.57907361,0.0,0.357491063,0.985477178,0.248177447,0.308964255,0.0,47.58399553,0.0,33.11078202,71.62201169,0.0,0.028095415,0.278551532,0.968988889
France,FRA,Europe & Central Asia,High income,2016,2.15e-05,1.3699999999999998e-05,1.36e-06,9.86e-06,4.331129163,1.05e-06,1.143834953,1439.1226550000001,11021,40570,918.6309885,17336,57993,0,91,659.0,380,4101,0.0,31.46144167,0.0,0.6810474209999999,0.09049439,0.0,289578291,70,2915,19.01392463,19.64715317,3.783284107,53.01075269,2.877105007,6.559225614,33.59856556,11.92808506,5.462923755,12.55749576,8.284347581,10.27612004,10.52239829,0.0,2.924926877,22.78699862,5.894214363,5.866029666,0.0,75.55261627,0.0,42.25470581,62.38976981,0.0,1.5769385630000001,4.735376045,5.0529563689999994
Germany,DEU,Europe & Central Asia,High income,2016,2.56e-05,1.5399999999999998e-05,2.36e-06,3.45e-06,2.5610338280000002,4.1299999999999995e-07,1.146672584,2110.319481,24777,55994,1271.503644,23446,70834,0,194,283.75,278,1962,0.0,24.81569417,0.0,1.019873532,0.10472984099999999,0.0,210897727,34,2598,22.89238686,22.37369687,6.601582757,18.548387100000003,1.6987522659999998,2.523851154,33.68191703,17.85769264,12.31573966,17.55715541,11.63864671,13.97426431,12.96686896,0.0,6.272343191,9.811549101,4.312083138999999,2.806425312,0.0,59.59328370000001,0.0,66.688272,73.47292386,0.0,1.14771693,2.228412256,4.503458198
India,IND,South Asia,Lower middle income,2016,2.52e-06,1.73e-06,3.7e-08,1.98e-08,0.064718958,4.61e-08,1.1655653,3337.674242,8884,55894,2296.887302,16065,58199,0,49,26.25,3,233,0.0,24.87989614,0.0,1.035438612,0.089406841,0.0,85720881,61,10541,1.059482367,0.449077787,0.054674994000000005,0.10645161300000001,0.036955067,0.19955148399999997,34.23686437,28.70061056,4.398336115,17.5247406,21.38562896,9.506833396000001,10.56161338,0.0,1.559961001,0.907676349,0.046533270999999994,0.333280886,0.0,59.74746057,0.0,67.81070737,61.54304756,0.0,0.46484675700000005,4.108635097,18.27211427
Ireland,IRL,Europe & Central Asia,High income,2016,4.270000000000001e-05,1.93e-05,2.73e-06,1.05e-07,13.01850238,4e-06,1.173178908,203.2353535,1333,4884,91.86111111,1658,4670,0,13,0.5,0,2,0.0,34.81068289,0.0,1.00072274,0.058621556,0.0,61907340,19,641,39.06841229,28.6287089,7.644353257000001,0.564516129,8.660290713,25.24738049,34.46050354,1.0097874409999998,0.6366602729999999,0.989948169,0.42532695200000004,0.7868392059999999,0.371591523,0.0,0.38999025,0.017289073000000002,0.0,0.00286078,0.0,83.59560232,0.0,65.30726231,37.5748532,0.0,0.334938093,1.183844011,1.111130371
Israel,ISR,Middle East & North Africa,High income,2016,3.5e-05,2.56e-05,6.67e-06,1.52e-06,73.66761046,9.95e-06,1.085653754,298.8261905,4067,9180,218.6888889,3542,12808,0,57,13.0,6,81,0.0,28.37597117,0.0,0.8859949109999999,0.096597912,0.0,629563399,85,771,31.78447102,38.7329591,18.74844994,8.172043011,49.03441142,62.94043863,31.88957352,1.854273185,1.998654943,2.382488225,1.63091287,1.927150795,1.9207779059999999,0.0,1.819954501,0.449515906,0.093066543,0.115861595,0.0,68.14305852,0.0,57.03396249,67.14172846,0.0,3.431640106,5.77994429,1.336476625
Italy,ITA,Europe & Central Asia,High income,2016,1.58e-05,1.3300000000000001e-05,1.8e-06,2.27e-06,0.18160749399999998,9.9e-08,1.069927767,958.9504329,8097,27251,803.3826118,13767,43686,0,109,137.5,65,752,0.0,32.95650023,0.0,0.8532890120000001,0.05153809,0.0,11010408,6,1387,13.62191615,19.00561347,5.023335513,12.20430108,0.114767784,0.534671279,31.42764446,7.686061356000001,4.006276932,8.240167779,7.188831894,8.115943782999999,7.798853244,0.0,3.509912252,4.754495159,1.008220878,1.075653331,0.0,79.14290265,0.0,54.67546141,32.05994925,0.0,0.057282937,0.278551532,2.404271178
Japan,JPN,East Asia & Pacific,High income,2016,1.85e-05,9.36e-06,3.15e-07,5.5e-06,1.234689962,5.2e-07,0.0,2351.937302,9636,39493,1188.37619,9952,37598,0,40,698.0833332999999,683,5248,0.0,12.08119412,0.0,0.7885620090000001,0.103324926,0.0,156798848,66,0,16.17602543,12.68644747,0.838162018,29.56989247,0.8158049470000001,3.201692703,0.0,19.9922362,4.772959374,12.2083883,10.84846265,5.8068733429999995,6.639914107999999,0.0,1.267468313,24.13842785,10.59407476,7.506687073999999,0.0,29.01220589,0.0,50.00784147,72.37911311,0.0,0.852594373,4.456824513,0.0
Netherlands,NLD,Europe & Central Asia,High income,2016,2.56e-05,2.7600000000000003e-05,2.99e-06,6.75e-07,1.101830301,5.28e-07,1.163658722,436.50757580000004,4338,12997,469.2203102,10895,29343,0,51,11.5,11,68,0.0,29.52380952,0.0,0.828584503,0.067419075,0.0,18764516,9,1631,22.89238686,41.94065758,8.377110906,3.629032258,0.72736025,3.252372445,34.18086128,3.0706028130000003,2.133658804,3.6197613619999998,4.0123876460000005,6.377634398,5.068455078,0.0,1.6249593759999998,0.39764868600000003,0.170621995,0.097266525,0.0,70.89951804,0.0,52.89395982,44.42425041,0.0,0.099583484,0.487465181,2.827228761
Norway,NOR,Europe & Central Asia,High income,2016,2.8600000000000004e-05,1.64e-05,1.91e-07,1.24e-06,1.761140422,1.53e-06,0.0,149.8,1281,4287,85.90952381,1819,4689,0,1,6.5,7,29,0.0,0.0,0.0,0.095091301,0.07975413,0.0,9218723,8,0,25.73028606,23.97754611,0.488692986,6.666666667,1.166263101,9.600010136,0.0,0.537719241,0.610755474,0.796431778,0.36875299,0.8842862159999999,0.375208449,0.0,0.0,0.224757953,0.108577633,0.041481312,0.0,0.0,0.0,0.0,54.02783198,0.0,0.047508859,0.41782729799999996,0.0
Portugal,PRT,Europe & Central Asia,High income,2016,2.8300000000000003e-05,1.99e-05,2.91e-07,2.91e-07,1.051691296,3.87e-07,0.902395889,292.04285710000005,1361,6431,205.4690476,3921,11638,0,3,3.0,0,8,0.0,35.19480519,0.0,0.440877851,0.051374030999999994,0.0,10859188,4,473,25.44649614,29.59101844,0.770522851,1.564516129,0.693982707,2.359141992,26.50662786,1.7943466430000001,0.650609012,1.491405214,1.505249118,2.156544686,1.6980514290000002,0.0,0.064998375,0.10373444,0.0,0.011443121,0.0,84.51804717,0.0,24.93550019,31.93221946,0.0,0.056457995,0.139275766,0.819913675
