artist_name,artist_url,date,datetime,difficulty,duration,hits,id,part,preset_id,rating,song_name,tab_url,tonality_name,tp_version,tracks,tuning,type,type_name,version,version_description,votes
Blink-182,https://www.ultimate-guitar.com/artist/blink-182_1930,1004486400,2001-10-30,,,5665.0,17889,,17921.0,4.343430000000001,Shut Up,https://tabs.ultimate-guitar.com/tab/blink-182/shut_up_tabs_17889,,0.0,,Standard,Tabs,Tab,1.0,,4
Blink-182,https://www.ultimate-guitar.com/artist/blink-182_1930,1004486400,2001-10-30,,,712.0,17914,,17921.0,3.734,Shut Up,https://tabs.ultimate-guitar.com/tab/blink-182/shut_up_tabs_17914,,0.0,,Standard,Tabs,Tab,2.0,,3
Blink-182,https://www.ultimate-guitar.com/artist/blink-182_1930,1015632000,2002-03-08,,,11402.0,24956,,17921.0,4.20057,Shut Up,https://tabs.ultimate-guitar.com/tab/blink-182/shut_up_tabs_24956,,0.0,,Standard,Tabs,Tab,3.0,,4
Blink-182,https://www.ultimate-guitar.com/artist/blink-182_1930,1018310400,2002-04-08,,,13935.0,27282,,17921.0,3.52884,Shut Up,https://tabs.ultimate-guitar.com/tab/blink-182/shut_up_tabs_27282,,0.0,,Standard,Tabs,Tab,4.0,,11
Blink-182,https://www.ultimate-guitar.com/artist/blink-182_1930,1022889600,2002-05-31,,,39012.0,31064,,17921.0,4.4224,Shut Up,https://tabs.ultimate-guitar.com/tab/blink-182/shut_up_tabs_31064,,0.0,,Standard,Tabs,Tab,5.0,,24
Blink-182,https://www.ultimate-guitar.com/artist/blink-182_1930,1090972800,2004-07-27,,,3101.0,129244,,17921.0,0.0,Shut Up,https://tabs.ultimate-guitar.com/tab/blink-182/shut_up_tabs_129244,,0.0,,Standard,Tabs,Tab,6.0,,0
Blink-182,https://www.ultimate-guitar.com/artist/blink-182_1930,1212796801,2008-06-06,,,5620.0,686591,,17921.0,0.0,Shut Up,https://tabs.ultimate-guitar.com/tab/blink-182/shut_up_tabs_686591,,0.0,,Standard,Tabs,Tab,7.0,,0
Blink-182,https://www.ultimate-guitar.com/artist/blink-182_1930,1240790401,2009-04-26,,,6899.0,817737,,17921.0,4.74316,Shut Up,https://tabs.ultimate-guitar.com/tab/blink-182/shut_up_tabs_817737,,0.0,,Standard,Tabs,Tab,8.0,,11
Blink-182,https://www.ultimate-guitar.com/artist/blink-182_1930,1308268801,2011-06-16,,,240.0,1067163,,17921.0,0.0,Shut Up,https://tabs.ultimate-guitar.com/tab/blink-182/shut_up_tabs_1067163,,0.0,,Standard,Tabs,Tab,9.0,,0
Blink-182,https://www.ultimate-guitar.com/artist/blink-182_1930,1384300801,2013-11-12,intermediate,,1688.0,1431472,,17921.0,4.6291400000000005,Shut Up,https://tabs.ultimate-guitar.com/tab/blink-182/shut_up_tabs_1431472,,0.0,,Standard,Tabs,Tab,10.0,,4
Blink-182,https://www.ultimate-guitar.com/artist/blink-182_1930,978307200,2000-12-31,,,3744.0,215495,,17921.0,3.71153,Shut Up,https://tabs.ultimate-guitar.com/tab/blink-182/shut_up_guitar_pro_215495,,2.0,,Standard,Pro,Guitar Pro,1.0,,6
Blink-182,https://www.ultimate-guitar.com/artist/blink-182_1930,1154476801,2006-08-01,,,6896.0,396502,,17921.0,4.4503,Shut Up,https://tabs.ultimate-guitar.com/tab/blink-182/shut_up_guitar_pro_396502,,3.0,,Standard,Pro,Guitar Pro,2.0,,9
Blink-182,https://www.ultimate-guitar.com/artist/blink-182_1930,978307200,2000-12-31,,,389.0,297055,,17921.0,0.0,Shut Up,https://tabs.ultimate-guitar.com/tab/blink-182/shut_up_power_297055,,1.0,,Standard,Power,Power,1.0,,0
Blink-182,https://www.ultimate-guitar.com/artist/blink-182_1930,1176508801,2007-04-13,,,737.0,502590,,17921.0,4.40065,Shut Up,https://tabs.ultimate-guitar.com/tab/blink-182/shut_up_power_502590,,4.0,,Standard,Power,Power,2.0,,3
Blink-182,https://www.ultimate-guitar.com/artist/blink-182_1930,1004486400,2001-10-30,,,7077.0,18073,,17921.0,4.040369999999999,Shut Up,https://tabs.ultimate-guitar.com/tab/blink-182/shut_up_bass_18073,,0.0,,Standard,Bass Tabs,Bass,1.0,,7
Blink-182,https://www.ultimate-guitar.com/artist/blink-182_1930,1222128001,2008-09-22,,,8893.0,735475,,17921.0,4.82267,Shut Up,https://tabs.ultimate-guitar.com/tab/blink-182/shut_up_bass_735475,,0.0,,Standard,Bass Tabs,Bass,2.0,,6
Blink-182,https://www.ultimate-guitar.com/artist/blink-182_1930,1434826642,2015-06-20,,,154.0,1746399,,17921.0,0.0,Shut Up,https://tabs.ultimate-guitar.com/tab/blink-182/shut_up_bass_1746399,,0.0,,Standard,Bass Tabs,Bass,3.0,,0
Blink-182,https://www.ultimate-guitar.com/artist/blink-182_1930,1343347201,2012-07-26,,,555.0,1378347,,17921.0,0.0,Shut Up,https://tabs.ultimate-guitar.com/tab/blink-182/shut_up_ukulele_1378347,,0.0,,G C E A,Ukulele Chords,Ukulele,1.0,,0
Blink-182,https://www.ultimate-guitar.com/artist/blink-182_1930,1062028800,2003-08-27,,,360.0,61028,,0.0,0.0,Shutup,https://tabs.ultimate-guitar.com/tab/blink-182/shutup_tabs_61028,,0.0,,Standard,Tabs,Tab,1.0,,0
