code,metrics,index_score
NLD,Total Funding Amount Percapita scaled,1.695827669
NOR,Total Funding Amount Percapita scaled,7.29501977
PRT,Total Funding Amount Percapita scaled,0.82733096
RUS,Total Funding Amount Percapita scaled,0.121580113
SGP,Total Funding Amount Percapita scaled,43.56685854
ZAF,Total Funding Amount Percapita scaled,0.12131227300000001
ESP,Total Funding Amount Percapita scaled,1.7837968469999999
SWE,Total Funding Amount Percapita scaled,10.45235501
CHE,Total Funding Amount Percapita scaled,15.61516477
ARE,Total Funding Amount Percapita scaled,3.915541094
GBR,Total Funding Amount Percapita scaled,14.86836666
USA,Total Funding Amount Percapita scaled,37.29367414
AUS,Total Number of Startups Percapita scaled,8.016268197
AUT,Total Number of Startups Percapita scaled,11.37380111
BEL,Total Number of Startups Percapita scaled,5.450606256
BRA,Total Number of Startups Percapita scaled,0.058915199999999994
CAN,Total Number of Startups Percapita scaled,23.34689016
CHN,Total Number of Startups Percapita scaled,1.2885324409999999
DNK,Total Number of Startups Percapita scaled,13.02089272
FIN,Total Number of Startups Percapita scaled,15.99832757
FRA,Total Number of Startups Percapita scaled,11.05705272
DEU,Total Number of Startups Percapita scaled,4.950143804
IND,Total Number of Startups Percapita scaled,0.23059282600000003
IRL,Total Number of Startups Percapita scaled,24.67723339
ISR,Total Number of Startups Percapita scaled,100.0
ITA,Total Number of Startups Percapita scaled,2.213437734
JPN,Total Number of Startups Percapita scaled,5.513955934
NLD,Total Number of Startups Percapita scaled,6.160122645
NOR,Total Number of Startups Percapita scaled,15.42818047
PRT,Total Number of Startups Percapita scaled,4.836114384
RUS,Total Number of Startups Percapita scaled,0.38960051700000004
SGP,Total Number of Startups Percapita scaled,52.74114055
ZAF,Total Number of Startups Percapita scaled,0.455484182
ESP,Total Number of Startups Percapita scaled,4.519365996
SWE,Total Number of Startups Percapita scaled,24.17043597
CHE,Total Number of Startups Percapita scaled,17.01192241
ARE,Total Number of Startups Percapita scaled,5.171867675
GBR,Total Number of Startups Percapita scaled,21.25635081
USA,Total Number of Startups Percapita scaled,27.78136759
AUS,AI hiring index scaled,77.76487094
AUT,AI hiring index scaled,0.0
BEL,AI hiring index scaled,47.467369700000006
BRA,AI hiring index scaled,83.97421641
CAN,AI hiring index scaled,70.37463938
CHN,AI hiring index scaled,33.12219293
DNK,AI hiring index scaled,55.51743559
FIN,AI hiring index scaled,52.70236719
FRA,AI hiring index scaled,54.91185638
DEU,AI hiring index scaled,58.893613
IND,AI hiring index scaled,73.1191459
IRL,AI hiring index scaled,52.34091334
ISR,AI hiring index scaled,55.17651733
ITA,AI hiring index scaled,55.67817908
JPN,AI hiring index scaled,0.0
NLD,AI hiring index scaled,62.27934409
NOR,AI hiring index scaled,0.0
PRT,AI hiring index scaled,47.43644131
RUS,AI hiring index scaled,0.0
SGP,AI hiring index scaled,100.0
ZAF,AI hiring index scaled,65.40400444
ESP,AI hiring index scaled,55.19246873
SWE,AI hiring index scaled,53.70715887
CHE,AI hiring index scaled,51.95668336
ARE,AI hiring index scaled,0.0
GBR,AI hiring index scaled,56.66088183
USA,AI hiring index scaled,64.65017554
AUS,Count of conference citation scaled,1.604104914
AUT,Count of conference citation scaled,0.240117568
BEL,Count of conference citation scaled,0.21919446
BRA,Count of conference citation scaled,0.144967245
CAN,Count of conference citation scaled,1.854185867
CHN,Count of conference citation scaled,6.6934017489999995
DNK,Count of conference citation scaled,0.159912322
FIN,Count of conference citation scaled,0.158417815
FRA,Count of conference citation scaled,1.012778041
DEU,Count of conference citation scaled,2.095797943
IND,Count of conference citation scaled,0.7900963959999999
IRL,Count of conference citation scaled,0.16589035300000002
ISR,Count of conference citation scaled,0.436396244
ITA,Count of conference citation scaled,0.938550826
JPN,Count of conference citation scaled,1.0825217329999999
NLD,Count of conference citation scaled,0.552469674
NOR,Count of conference citation scaled,0.020923108
PRT,Count of conference citation scaled,0.107106384
RUS,Count of conference citation scaled,0.067751015
SGP,Count of conference citation scaled,1.100455825
ZAF,Count of conference citation scaled,0.0
ESP,Count of conference citation scaled,0.731312427
SWE,Count of conference citation scaled,0.194784168
CHE,Count of conference citation scaled,1.24542307
ARE,Count of conference citation scaled,0.0712382
GBR,Count of conference citation scaled,3.3661294739999996
USA,Count of conference citation scaled,20.97541535
AUS,Count of citation references scaled,11.60676951
AUT,Count of citation references scaled,1.517985355
BEL,Count of citation references scaled,1.529654685
BRA,Count of citation references scaled,5.296579266
CAN,Count of citation references scaled,11.70660711
CHN,Count of citation references scaled,75.51547645
DNK,Count of citation references scaled,1.033708157
FIN,Count of citation references scaled,1.4223616780000001
FRA,Count of citation references scaled,10.19121494
DEU,Count of citation references scaled,15.80708004
IND,Count of citation references scaled,12.9691638
IRL,Count of citation references scaled,0.762072084
ISR,Count of citation references scaled,1.933543165
ITA,Count of citation references scaled,8.095597745
JPN,Count of citation references scaled,11.89590958
NLD,Count of citation references scaled,3.2602811660000004
NOR,Count of citation references scaled,0.7222018729999999
PRT,Count of citation references scaled,1.6392167290000002
RUS,Count of citation references scaled,0.7069669140000001
SGP,Count of citation references scaled,6.061568682000001
ZAF,Count of citation references scaled,0.0
ESP,Count of citation references scaled,6.222670267000001
SWE,Count of citation references scaled,1.5870288909999999
CHE,Count of citation references scaled,5.246012169
ARE,Count of citation references scaled,0.42463395600000003
GBR,Count of citation references scaled,19.56622507
USA,Count of citation references scaled,100.0
AUS,Count of journal citation scaled,5.590189931
